# .test .cputime .temperature .time_mat1 .time_mat2
151 0.170599  3.896 0.000701 0.001062
152 0.170421  3.409 0.000779 0.000880
153 0.170837  4.383 0.000718 0.000890
154 0.173763  3.409 0.000766 0.000904
155 0.175484  4.870 0.000738 0.000916
156 0.174866  4.383 0.000781 0.000927
157 0.175615  3.409 0.000781 0.000939
158 0.174031  3.896 0.000801 0.000975
159 0.177247  3.896 0.000775 0.000962
160 0.179966  3.896 0.000841 0.000982
161 0.190777  4.383 0.000902 0.001240
162 0.183855  3.896 0.000874 0.000998
163 0.186118  3.896 0.000868 0.001190
164 0.193399  3.896 0.000855 0.001028
165 0.193614  4.383 0.000851 0.001052
166 0.191153  3.896 0.000925 0.001049
167 0.191831  4.870 0.000912 0.001083
168 0.196837  4.383 0.000896 0.001074
169 0.191893  3.896 0.000895 0.001086
170 0.198425  4.383 0.000917 0.001100
171 0.197674  4.383 0.000935 0.001236
172 0.208126  4.383 0.000928 0.001128
173 0.199174  3.896 0.000948 0.001348
174 0.201953  3.896 0.000947 0.001155
175 0.199992  3.409 0.001008 0.001178
176 0.201274  4.383 0.001026 0.001190
177 0.206065  4.870 0.000990 0.001257
178 0.204721  3.409 0.000992 0.001228
179 0.207773  4.383 0.001055 0.001226
180 0.206860  4.383 0.001016 0.001249
181 0.213620  4.383 0.001095 0.001256
182 0.220327  4.870 0.001034 0.001261
183 0.234083  3.896 0.001095 0.001282
184 0.223911  3.896 0.001037 0.001292
185 0.229219  5.844 0.001124 0.001311
186 0.223849  4.870 0.001105 0.001325
187 0.231283  6.331 0.001152 0.001343
188 0.227514  4.383 0.001088 0.001358
189 0.224551  4.383 0.001136 0.001414
190 0.225677  5.357 0.001183 0.001414
191 0.222702  4.383 0.001157 0.001402
192 0.235920  4.870 0.001172 0.001420
193 0.223969  5.357 0.001224 0.001431
194 0.227151  4.383 0.001196 0.001479
195 0.236194  3.896 0.001244 0.001474
196 0.230938  4.870 0.001187 0.001498
197 0.227641  4.870 0.001230 0.001499
198 0.230598  5.844 0.001227 0.001850
199 0.236003  5.357 0.001256 0.001548
200 0.231223  4.383 0.001228 0.001557
201 0.230395  4.870 0.001279 0.001658
202 0.234069  4.383 0.001253 0.001585
